# Fee priority workload - large variation in fees
# accountID targetID amount type fee arrivalTime complexity accountTier
101 203 500.00 2 5.00 1714758400 3 0
305 872 750.75 0 50.00 1714758300 3 0
764 129 300.50 1 2.50 1714758200 2 0
492 653 1200.00 2 100.00 1714758100 4 0
218 946 125.25 0 1.25 1714758000 2 0
831 576 950.00 1 75.00 1714757900 4 0
403 299 425.75 0 4.25 1714757800 2 0
567 702 800.25 2 8.00 1714757700 3 0
614 258 275.50 1 2.75 1714757600 2 0
939 475 1125.00 0 11.25 1714757500 3 0
